搬砖小伙,32,小肚皮,向大大疯狂黑翔哥
搬砖小伙,32,小肚皮,等了你一天了
AL尊,24,小肚皮,歪
我才不喜欢饶呆呆,24,小肚皮,早安 肚皮怪
Okabe1,8,无粉丝牌,歪
埃及OK鱼,7,无粉丝牌,歪？
Viking1996,27,小肚皮,？？？？？？？？？？
迷恋短发_,17,天宣占,喂，zaima？
pfh112,11,无粉丝牌,日语课呢
靓靓1993,17,小肚皮,歪
中东石油王子大卫,12,小肚皮,歪？
各种YY,21,小肚皮,歪歪歪
dasibiedy,13,小僵尸,我还以为这段时间比赛又要鸽了呢
佩达拉,19,小僵尸,翔哥想死你了！烦死了
超人丶汉考克,14,小肚皮,歪
asd46457341,13,小肚皮,歪
Viking1996,27,小肚皮,不是，你这个点开播？？？
999哈哈哈D,15,小肚皮,歪烈女跟轮轮好了
陈小鑫,15,集团军,不是  开始了吗
搬砖小伙,32,小肚皮,翔哥今天向大大疯狂黑你
茄子烧又,21,小僵尸,歪歪歪
飞动的灵感,20,小肚皮,歪
冷酒同学,13,小肚皮,歪歪歪
Cccccoopp,24,女流,歪
Mepewn,17,小赢僧,歪
炸妹是我的,18,小肚皮,歪
清风阁恐怖,20,无粉丝牌,歪
RockOn上弦月,38,集团军,XGNB！
搬砖小伙,32,小肚皮,歪歪歪
惡夢,43,196,歪
埃及OK鱼,7,无粉丝牌,歪？ 
飞动的灵感,20,小肚皮,XGNB
中东石油王子大卫,12,小肚皮,向大大说xg撩妹牛逼
面麻will,20,小肚皮,歪？
Imba_雪祭祀,25,小僵尸,歪
Mepewn,17,小赢僧,xgsb
Viking1996,27,小肚皮,歪歪歪
小僵尸游侠团背锅侠,24,小僵尸,xgnb
網遊廢人,26,无粉丝牌,怎么打不开
埃及OK鱼,7,无粉丝牌,歪
御用黑粉010,21,碧宝,终于等到你
家教Giotto,24,小僵尸,人呢
剧本,20,小肚皮,歪歪歪
搬砖小伙,32,小肚皮,向大大疯狂黑翔哥
陈小鑫,15,集团军,不是 要这么久吗
Ammm5,10,小緑帽,歪
hymddd,25,小肚皮,歪
