小白鹅WhiteGoose,24,小緑帽,废物
尼玛战斗鸡,20,小僵尸,从不格挡。。被活活A死。。
cui568239967,11,无粉丝牌,废物
GipsyAvenger,9,小电鸡,废物啊
XanaduF,22,小僵尸,收
袄特慢,14,无粉丝牌,一柴刀 
nicskingso,9,无粉丝牌,辣
乌鸡国南天门传达室,20,小乌贼,23333333333333
赵斌123,20,马帮,辣
这瓜真甜卡,16,大马猴,好辣啊！
likecheer萌萌,20,小痒虫,辣
浮生若火,18,小钻風,辣
我挺你阿罗,10,无粉丝牌,辣
kingheart,19,无粉丝牌,辣
黑色饼干009,18,小渣男,满气退你妈？对面都没气的，菜比
毛小灬驴,12,点子王,现在谢彬比川菜强的
有本事闷死我,14,小僵尸,废物
iii万象天引,20,点子王,饱了饱了
灵性负100,19,小僵尸,废物啊
likecheer萌萌,20,小痒虫,废物
mylovezkp,15,小僵尸,真是个废物啊
duan252422725,8,无粉丝牌,废物
小缘的小姜师,20,小僵尸,下饭 舒服
天上掉下个小宝宝,16,小僵尸,废物
白羊座的小油子,23,小僵尸,你能不能行啊
风中狂鲨,16,阿冷,废物
Xc丶1994,18,小僵尸,xiadane
littleyellowumbrella,5,无粉丝牌,oooooooooook
笨拙的奔跑者,16,无粉丝牌,.....
美少年肛翻集团军高层,17,集团军,蜡
yang271828,23,蜀军,好辣
积乱云123,15,小僵尸,废物
